The Road Warrior;1982;Action
Aliens;1986;;Action
Die Hard;1988;Action
Terminator 2: Judgment Day;1991;Action
Casino Royale;2006;Action
King Kong;1933;Adventure
The Adventures of Robin Hood;1938;Adventure
The Treasure of the Sierra Madre;1948;Adventure
Raiders of the Lost Ark;1981;Adventure
Jurassic Park;1993;Adventure
The Maltese Falcon;1941;Film Noir
Double Indemnity;1944;Film Noir
Murder, My Sweet;1944;Film Noir
Sunset Boulevard;1950;Film Noir
Touch of Evil;1958;Film Noir
2001: A Space Odyssey;1968;Sci-Fi
Star Wars;1977;Sci-Fi
Blade Runner;1982;Sci-Fi
The Matrix;1999;Sci-Fi
The Dark Knight;2008;Sci-Fi
